run_id,treatment,func,rep,time_s,energy_j,cpu_pct,mem_mb
run_144_repetition_0,baseline,floyd_warshall,25,1.634274244,15.42,22.02857143,4.046875
run_145_repetition_0,baseline,floyd_warshall,26,1.521980762,15.41,22.61578947,4.0625
run_146_repetition_0,baseline,floyd_warshall,27,1.62053299,15.42,21.59,4.0625
run_147_repetition_0,baseline,floyd_warshall,28,1.527550936,15.43,22.30526316,4.078125
run_148_repetition_0,baseline,floyd_warshall,29,1.528131962,15.42,22.29473684,4.015625
run_149_repetition_0,baseline,floyd_warshall,30,1.624575138,15.42,21.58,4.109375
run_150_repetition_0,optimized,floyd_warshall,1,1.524501085,15.41,22.64736842,4.015625
run_151_repetition_0,optimized,floyd_warshall,2,1.5131418700000001,15.41,22.89473684,4.03125
run_152_repetition_0,optimized,floyd_warshall,3,1.623798847,15.41,22.365,4.015625
run_153_repetition_0,optimized,floyd_warshall,4,1.525367022,15.42,23.51,4.015625
run_154_repetition_0,optimized,floyd_warshall,5,1.527080297,15.41,22.44210526,4.046875
run_155_repetition_0,optimized,floyd_warshall,6,1.517962933,15.41,22.65263158,4.078125
run_156_repetition_0,optimized,floyd_warshall,7,1.637579918,15.42,21.8,4.015625
run_157_repetition_0,optimized,floyd_warshall,8,1.637196064,16.07,32.385,4.015625
run_158_repetition_0,optimized,floyd_warshall,9,1.727438211,18.06,20.56190476,4
run_159_repetition_0,optimized,floyd_warshall,10,1.65256381,15.42,22.39047619,4.015625
run_160_repetition_0,optimized,floyd_warshall,11,1.530924082,15.39,23.15263158,4.03125
run_161_repetition_0,optimized,floyd_warshall,12,1.529977083,15.4,23.75263158,3.953125
run_162_repetition_0,optimized,floyd_warshall,13,1.527643919,15.42,22.26315789,3.953125
run_163_repetition_0,optimized,floyd_warshall,14,1.621115923,15.4,23.975,4.078125
run_164_repetition_0,optimized,floyd_warshall,15,1.526503086,15.4,23.34210526,4.015625
run_165_repetition_0,optimized,floyd_warshall,16,1.633839846,15.39,23.39,4.015625
run_166_repetition_0,optimized,floyd_warshall,17,1.516296864,15.39,25.07894737,4.046875
run_167_repetition_0,optimized,floyd_warshall,18,1.523211002,15.44,23.18947368,3.953125
run_168_repetition_0,optimized,floyd_warshall,19,1.528060198,15.37,24.7,3.953125
run_169_repetition_0,optimized,floyd_warshall,20,1.430010796,15.39,23.16111111,4.046875
run_170_repetition_0,optimized,floyd_warshall,21,1.653288841,15.41,23.34285714,4.015625
run_171_repetition_0,optimized,floyd_warshall,22,1.530589104,18.01,22.785,3.953125
run_172_repetition_0,optimized,floyd_warshall,23,1.514542103,15.38,24.7,3.9375
run_173_repetition_0,optimized,floyd_warshall,24,1.42424202,15.4,24.05,4.015625
run_174_repetition_0,optimized,floyd_warshall,25,1.647341013,15.41,22.505,4.015625
run_175_repetition_0,optimized,floyd_warshall,26,1.637414217,18.05,20.97619048,3.921875
run_176_repetition_0,optimized,floyd_warshall,27,1.629458904,15.42,23.335,4.046875
run_177_repetition_0,optimized,floyd_warshall,28,1.528045893,15.4,23.02631579,4
run_178_repetition_0,optimized,floyd_warshall,29,1.634979963,15.41,22.565,4.078125
run_179_repetition_0,optimized,floyd_warshall,30,1.624566078,15.4,24.365,3.953125
run_180_repetition_0,baseline,knapsack,1,165.461879,448.38,25.27023737,3.953125
run_181_repetition_0,baseline,knapsack,2,165.2500801,448.38,25.26892139,4.015625
run_182_repetition_0,baseline,knapsack,3,165.0067651,448.39,25.29121415,4.015625
run_183_repetition_0,baseline,knapsack,4,165.1148489,448.37,25.27390244,3.9375
run_184_repetition_0,baseline,knapsack,5,166.9877751,453.67,25.29770808,4.140625
run_185_repetition_0,baseline,knapsack,6,166.5711668,451.03,25.29443773,4.03125
run_186_repetition_0,baseline,knapsack,7,164.6839218,445.74,25.2404893,4.015625
run_187_repetition_0,baseline,knapsack,8,165.4987171,448.38,25.28132603,4.03125
run_188_repetition_0,baseline,knapsack,9,167.4777849,453.65,25.26752856,4.015625
run_189_repetition_0,baseline,knapsack,10,165.2781272,448.38,25.26068168,4.109375
run_190_repetition_0,baseline,knapsack,11,166.936739,453.67,25.2800965,4
run_191_repetition_0,baseline,knapsack,12,164.6155469,445.75,25.27253823,4.015625
run_192_repetition_0,baseline,knapsack,13,165.2511091,448.39,25.28641073,4.015625
run_193_repetition_0,baseline,knapsack,14,165.3082728,448.36,25.28878732,4.015625
run_194_repetition_0,baseline,knapsack,15,165.0190041,448.39,25.26467358,4.03125
run_195_repetition_0,baseline,knapsack,16,165.0145972,448.38,25.29115314,4.015625
run_196_repetition_0,baseline,knapsack,17,165.0892279,448.39,25.27134146,4.03125
run_197_repetition_0,baseline,knapsack,18,165.146368,448.38,25.26920732,4.03125
run_198_repetition_0,baseline,knapsack,19,165.201292,448.74,25.31280488,3.953125
run_199_repetition_0,baseline,knapsack,20,164.6641679,445.75,25.24238532,3.953125
run_200_repetition_0,baseline,knapsack,21,164.4715641,445.72,25.25970606,4.015625
run_201_repetition_0,baseline,knapsack,22,164.9385662,448.39,25.28821734,4.09375
run_202_repetition_0,baseline,knapsack,23,164.7705569,445.75,25.26888753,4
run_203_repetition_0,baseline,knapsack,24,166.2275989,451.02,25.23944344,4.015625
run_204_repetition_0,baseline,knapsack,25,165.025126,448.35,25.30298963,4.015625
run_205_repetition_0,baseline,knapsack,26,164.80808,448.38,25.27764203,4
run_206_repetition_0,baseline,knapsack,27,165.2730827,448.38,25.26057282,4.09375
run_207_repetition_0,baseline,knapsack,28,165.0401721,448.37,25.27949969,4.046875
run_208_repetition_0,baseline,knapsack,29,165.2223542,448.41,25.27135893,4.078125
run_209_repetition_0,baseline,knapsack,30,164.8346231,448.37,25.28796579,4.046875
run_210_repetition_0,optimized,knapsack,1,0.549185991,15.43,22.08181818,4.078125
run_211_repetition_0,optimized,knapsack,2,0.537698984,12.78,23.8,4.125
run_212_repetition_0,optimized,knapsack,3,0.543000698,12.75,23.26,3.96875
run_213_repetition_0,optimized,knapsack,4,0.549293041,12.76,24.54,4.09375
run_214_repetition_0,optimized,knapsack,5,0.538993835,12.76,22.88,4.0625
run_215_repetition_0,optimized,knapsack,6,0.545690298,12.75,24.19,4.078125
run_216_repetition_0,optimized,knapsack,7,0.546432972,12.75,23.64,4.1875
run_217_repetition_0,optimized,knapsack,8,0.544943094,12.76,22.66,4.046875
run_218_repetition_0,optimized,knapsack,9,0.551414967,12.77,22.26,4.09375
run_219_repetition_0,optimized,knapsack,10,0.559576035,12.74,22.76,3.953125
run_220_repetition_0,optimized,knapsack,11,0.545785666,12.77,22.1,4.0625
run_221_repetition_0,optimized,knapsack,12,0.541213036,12.76,22.94,4.0625
run_222_repetition_0,optimized,knapsack,13,0.541446924,12.75,23.88,4.078125
run_223_repetition_0,optimized,knapsack,14,0.549298286,12.76,22.03,4.078125
run_224_repetition_0,optimized,knapsack,15,0.556344032,12.74,24.01,4.078125
run_225_repetition_0,optimized,knapsack,16,0.541288137,12.78,23.09,4.171875
run_226_repetition_0,optimized,knapsack,17,0.642133713,15.41,19.03636364,4.15625
run_227_repetition_0,optimized,knapsack,18,0.553849697,12.76,23.69,4.046875
run_228_repetition_0,optimized,knapsack,19,0.646342754,15.43,21.29090909,4.046875
run_229_repetition_0,optimized,knapsack,20,0.637249231,15.41,20.34545455,3.96875
run_230_repetition_0,optimized,knapsack,21,0.551075935,12.76,22.75,3.96875
run_231_repetition_0,optimized,knapsack,22,0.640424967,15.43,21.24545455,4.09375
run_232_repetition_0,optimized,knapsack,23,0.547271252,12.75,24.53,4.09375
run_233_repetition_0,optimized,knapsack,24,0.558912039,12.76,22.08,4.046875
run_234_repetition_0,optimized,knapsack,25,0.553014994,12.76,22.69,4.015625
run_235_repetition_0,optimized,knapsack,26,0.545543909,12.76,21.7,4.09375
run_236_repetition_0,optimized,knapsack,27,0.547318935,12.78,23.56,4.0625
run_237_repetition_0,optimized,knapsack,28,0.559037924,12.76,23.4,4.171875
run_238_repetition_0,optimized,knapsack,29,0.552760839,12.77,21.98,4.125
run_239_repetition_0,optimized,knapsack,30,0.548966169,12.77,23.35,4.0625
run_240_repetition_0,baseline,max_subarray,1,24.70041299,76.14,25.13534137,4.109375
run_241_repetition_0,baseline,max_subarray,2,24.64789391,76.12,25.14516129,4.078125
run_242_repetition_0,baseline,max_subarray,3,24.71490812,78.79,25.12208835,3.921875
run_243_repetition_0,baseline,max_subarray,4,24.44288182,76.15,25.18211382,4.078125
run_244_repetition_0,baseline,max_subarray,5,24.66341591,78.8,25.09112903,4.078125
run_245_repetition_0,baseline,max_subarray,6,24.66328812,78.8,25.11164659,4.015625
run_246_repetition_0,baseline,max_subarray,7,24.62417197,78.81,25.12971888,4.0625
run_247_repetition_0,baseline,max_subarray,8,24.61163282,76.16,25.16612903,4.03125
run_248_repetition_0,baseline,max_subarray,9,24.39025593,76.14,25.10528455,4.078125
run_249_repetition_0,baseline,max_subarray,10,24.44113302,76.12,25.1597561,4.0625
run_250_repetition_0,baseline,max_subarray,11,24.62713289,76.14,25.0375,4.046875
run_251_repetition_0,baseline,max_subarray,12,24.61205912,76.13,25.19516129,4.078125
run_252_repetition_0,baseline,max_subarray,13,24.13651299,76.14,25.15473251,4
run_253_repetition_0,baseline,max_subarray,14,24.6715591,76.13,25.15140562,4.09375
run_254_repetition_0,baseline,max_subarray,15,24.59625101,76.13,25.16693548,4.015625
run_255_repetition_0,baseline,max_subarray,16,24.63949394,78.79,25.12217742,4.015625
run_256_repetition_0,baseline,max_subarray,17,24.72780418,78.78,25.19116466,4.046875
run_257_repetition_0,baseline,max_subarray,18,24.54049516,76.16,25.0388664,4.03125
run_258_repetition_0,baseline,max_subarray,19,24.66894317,76.14,25.20883534,4.140625
run_259_repetition_0,baseline,max_subarray,20,24.50883198,76.14,25.18825911,4.03125
run_260_repetition_0,baseline,max_subarray,21,24.72682309,78.78,25.29759036,4.109375
run_261_repetition_0,baseline,max_subarray,22,24.22661519,76.16,25.12122449,4.0625
run_262_repetition_0,baseline,max_subarray,23,24.61192513,76.13,25.17862903,4.09375
run_263_repetition_0,baseline,max_subarray,24,24.57640982,76.14,25.16532258,4.046875
run_264_repetition_0,baseline,max_subarray,25,24.41371584,76.16,25.10809717,3.984375
run_265_repetition_0,baseline,max_subarray,26,24.61721587,78.81,25.10040323,3.96875
run_266_repetition_0,baseline,max_subarray,27,24.68203497,78.8,25.1686747,4.109375
run_267_repetition_0,baseline,max_subarray,28,24.57072687,76.12,25.14048583,4.109375
run_268_repetition_0,baseline,max_subarray,29,24.19389176,76.15,25.24016393,4.125
run_269_repetition_0,baseline,max_subarray,30,24.65617108,78.8,25.20604839,4.125
run_270_repetition_0,optimized,max_subarray,1,29.56195307,89.35,25.22861953,4.125
run_271_repetition_0,optimized,max_subarray,2,29.67450905,89.33,25.18657718,4.109375
run_272_repetition_0,optimized,max_subarray,3,29.33822966,89.34,25.30067797,4.046875
run_273_repetition_0,optimized,max_subarray,4,29.80805206,91.99,25.14749164,4.0625
run_274_repetition_0,optimized,max_subarray,5,29.25777411,89.36,25.14897959,4.125
run_275_repetition_0,optimized,max_subarray,6,29.64569211,89.34,25.20872483,4.0625
run_276_repetition_0,optimized,max_subarray,7,29.67255306,89.34,25.16040268,4.15625
run_277_repetition_0,optimized,max_subarray,8,29.68710709,89.35,25.11308725,4.078125
run_278_repetition_0,optimized,max_subarray,9,29.20061684,89.35,25.20068259,4.140625
run_279_repetition_0,optimized,max_subarray,10,29.58947206,89.33,25.12323232,4.125
run_280_repetition_0,optimized,max_subarray,11,29.66664791,91.99,25.22651007,4.046875
run_281_repetition_0,optimized,max_subarray,12,29.51972508,92.01,25.203367,4.140625
run_282_repetition_0,optimized,max_subarray,13,29.50645185,89.35,25.19461279,4.09375
run_283_repetition_0,optimized,max_subarray,14,29.59223819,89.32,25.15117845,4.0625
run_284_repetition_0,optimized,max_subarray,15,29.66789985,91.98,25.19026846,4.078125
run_285_repetition_0,optimized,max_subarray,16,29.5998261,89.33,25.19124579,4.0625
run_286_repetition_0,optimized,max_subarray,17,29.20949984,89.35,25.2105802,4.03125
run_287_repetition_0,optimized,max_subarray,18,29.59419322,89.34,25.08855219,4.046875
run_288_repetition_0,optimized,max_subarray,19,29.68456197,91.98,25.20067114,4.09375
run_289_repetition_0,optimized,max_subarray,20,29.52231979,89.33,25.1625,4.109375
run_290_repetition_0,optimized,max_subarray,21,29.29722691,89.33,25.21904762,4.078125
run_291_repetition_0,optimized,max_subarray,22,29.7459569,92.02,25.1361204,4.109375
run_292_repetition_0,optimized,max_subarray,23,29.44499898,89.31,25.26385135,4.0625
run_293_repetition_0,optimized,max_subarray,24,29.47716022,89.34,25.14222973,4.0625
run_294_repetition_0,optimized,max_subarray,25,29.60257506,89.35,25.1010101,4.09375
run_295_repetition_0,optimized,max_subarray,26,29.27217984,91.96,24.87567568,4.015625
run_296_repetition_0,optimized,max_subarray,27,29.21454692,89.34,25.17482993,4.125
