__run_id,__done,script_name,rep,wall_seconds,energy_joules,avg_cpu_util_percent,peak_memory_mb
run_25_repetition_0,DONE,baseline_bfs,26,25.428301095962524,78.78000000000002,25.13125,4.109375
run_26_repetition_0,DONE,baseline_bfs,27,25.060425996780396,78.80000000000001,25.195634920634923,4.046875
run_27_repetition_0,DONE,baseline_bfs,28,25.28838801383972,78.79,25.172156862745098,3.984375
run_28_repetition_0,DONE,baseline_bfs,29,25.666728019714355,81.41000000000001,25.143410852713178,4.03125
run_29_repetition_0,DONE,baseline_bfs,30,25.846024990081787,91.13999999999999,23.47948717948718,4.03125
run_30_repetition_0,DONE,optimized_bfs,1,9.578636884689331,39.239999999999995,24.11212121212121,4.046875
run_31_repetition_0,DONE,optimized_bfs,2,9.359945058822632,36.57000000000001,24.50721649484536,4.0
run_32_repetition_0,DONE,optimized_bfs,3,9.368897914886475,36.57000000000001,24.75154639175258,4.0625
run_33_repetition_0,DONE,optimized_bfs,4,9.218317985534668,36.57000000000001,24.795833333333334,4.0625
run_34_repetition_0,DONE,optimized_bfs,5,9.249130964279175,36.550000000000004,24.95,4.078125
run_35_repetition_0,DONE,optimized_bfs,6,9.369703769683838,36.56,24.54226804123711,4.078125
run_36_repetition_0,DONE,optimized_bfs,7,9.317957162857056,39.120000000000005,23.4990099009901,4.078125
run_37_repetition_0,DONE,optimized_bfs,8,9.34753680229187,41.589999999999996,24.994791666666668,4.03125
run_38_repetition_0,DONE,optimized_bfs,9,9.357290983200073,36.56,24.777319587628867,4.140625
run_39_repetition_0,DONE,optimized_bfs,10,9.380541801452637,36.57000000000001,24.842268041237112,4.046875
run_40_repetition_0,DONE,optimized_bfs,11,9.296785831451416,36.56,24.938541666666666,4.046875
run_41_repetition_0,DONE,optimized_bfs,12,9.346778154373169,36.550000000000004,24.883505154639174,4.0625
run_42_repetition_0,DONE,optimized_bfs,13,9.249258995056152,36.550000000000004,24.757291666666664,4.046875
run_43_repetition_0,DONE,optimized_bfs,14,9.321846961975098,36.56,24.66979166666667,4.0
run_44_repetition_0,DONE,optimized_bfs,15,9.402134895324707,36.550000000000004,24.804123711340207,4.078125
run_45_repetition_0,DONE,optimized_bfs,16,9.376097917556763,36.550000000000004,24.673195876288663,4.125
run_46_repetition_0,DONE,optimized_bfs,17,9.377806901931763,36.540000000000006,24.826804123711337,4.234375
run_47_repetition_0,DONE,optimized_bfs,18,9.489853858947754,36.54,24.835714285714285,4.015625
run_48_repetition_0,DONE,optimized_bfs,19,9.304280996322632,36.550000000000004,25.120833333333334,4.0625
run_49_repetition_0,DONE,optimized_bfs,20,9.194630861282349,36.57,24.989473684210527,4.015625
run_50_repetition_0,DONE,optimized_bfs,21,9.300082921981812,36.550000000000004,25.05,3.96875
run_51_repetition_0,DONE,optimized_bfs,22,9.3001549243927,36.540000000000006,25.020833333333332,4.0625
run_52_repetition_0,DONE,optimized_bfs,23,9.422868013381958,36.53,24.743298969072164,4.015625
run_53_repetition_0,DONE,optimized_bfs,24,9.308789014816284,36.540000000000006,25.036458333333332,4.015625
